ID,SECURITY_ID,TICKER_SYMBOL,EXCHANGE_CD,TRADE_DATE,LIMIT_UP_PRICE,LIMIT_DOWN_PRICE,UP_LIMIT_REACHED_TIMES,DOWN_LIMIT_REACHED_TIMES,INFO_SOURCE_CD,UPDATE_TIME,PRE_CLOSE_PRICE,ACT_PRE_CLOSE_PRICE,sjqy_insert_time,sjqy_update_time
18440258,594,600009,XSHG,2026-04-21,30.24,24.74,0,0,1030,2026-04-21 15:26:28,27.49,27.49,2026-04-21 09:58:27,2026-04-21 15:28:41
18443842,627,600052,XSHG,2026-04-21,4.18,3.42,0,0,1030,2026-04-21 15:26:28,3.8,3.8,2026-04-21 09:58:27,2026-04-21 15:28:41
18556524,30764,002736,XSHE,2026-05-15,11.67,9.55,0,0,1031,2026-05-15 15:30:35,10.61,10.61,2026-05-15 15:15:40,2026-05-15 15:32:41
18556630,76693,002963,XSHE,2026-05-15,21.09,17.25,0,0,1031,2026-05-15 15:30:35,19.17,19.17,2026-05-15 15:15:41,2026-05-15 15:32:42
18556785,10036816,159199,XSHE,2026-05-15,1.056,0.864,0,0,1031,2026-05-15 15:30:35,0.96,0.96,2026-05-15 15:15:41,2026-05-15 15:32:42
18556986,10015812,159814,XSHE,2026-05-15,0.982,0.654,0,0,1031,2026-05-15 15:30:35,0.818,0.818,2026-05-15 15:15:42,2026-05-15 15:32:42
18558500,10016783,159822,XSHE,2026-05-15,0.723,0.591,0,0,1031,2026-05-15 15:30:35,0.657,0.657,2026-05-15 15:15:42,2026-05-15 15:32:42
18558953,10005020,160125,XSHE,2026-05-15,1.991,1.629,0,0,1031,2026-05-15 15:30:35,1.81,1.81,2026-05-15 15:15:42,2026-05-15 15:32:42
18558981,10000609,160717,XSHE,2026-05-15,0.834,0.682,0,0,1031,2026-05-15 15:30:35,0.758,0.758,2026-05-15 15:15:43,2026-05-15 15:32:43
18557183,10008047,161124,XSHE,2026-05-15,1.229,1.005,0,0,1031,2026-05-15 15:30:35,1.117,1.117,2026-05-15 15:15:43,2026-05-15 15:32:43
18559217,10009919,161715,XSHE,2026-05-15,2.706,2.214,0,0,1031,2026-05-15 15:30:35,2.46,2.46,2026-05-15 15:15:43,2026-05-15 15:32:43
18559243,10009638,163111,XSHE,2026-05-15,1.885,1.543,0,0,1031,2026-05-15 15:30:35,1.714,1.714,2026-05-15 15:15:44,2026-05-15 15:32:43
18559672,10006256,168102,XSHE,2026-05-15,1.289,1.055,0,0,1031,2026-05-15 15:30:35,1.172,1.172,2026-05-15 15:15:44,2026-05-15 15:32:43
18560138,2959,300055,XSHE,2026-05-15,13.13,8.75,0,0,1031,2026-05-15 15:30:35,10.94,10.94,2026-05-15 15:15:45,2026-05-15 15:32:43
18557301,2764,300033,XSHE,2026-05-15,284.4,189.6,0,0,1031,2026-05-15 15:30:35,237.0,237.0,2026-05-15 15:15:46,2026-05-15 15:32:43
18560510,3583,300205,XSHE,2026-05-15,6.85,4.57,0,0,1031,2026-05-15 15:30:35,5.71,5.71,2026-05-15 15:15:46,2026-05-15 15:32:43
18560542,3789,300265,XSHE,2026-05-15,28.97,19.31,0,0,1031,2026-05-15 15:30:35,24.14,24.14,2026-05-15 15:15:46,2026-05-15 15:32:43
18557537,29385,300411,XSHE,2026-05-15,12.16,8.1,0,0,1031,2026-05-15 15:30:35,10.13,10.13,2026-05-15 15:15:46,2026-05-15 15:32:43
18557569,27512,300477,XSHE,2026-05-15,3.96,2.64,0,0,1031,2026-05-15 15:30:35,3.3,3.3,2026-05-15 15:15:47,2026-05-15 15:32:43
18560721,40069,300651,XSHE,2026-05-15,37.63,25.09,0,0,1031,2026-05-15 15:30:36,31.36,31.36,2026-05-15 15:16:41,2026-05-15 15:32:43
18560753,75242,300706,XSHE,2026-05-15,60.24,40.16,0,0,1031,2026-05-15 15:30:36,50.2,50.2,2026-05-15 15:16:41,2026-05-15 15:32:43
18557878,77174,300855,XSHE,2026-05-15,46.55,31.03,0,0,1031,2026-05-15 15:30:36,38.79,38.79,2026-05-15 15:16:41,2026-05-15 15:32:44
18561127,10009315,501019,XSHG,2026-05-15,1.636,1.338,0,0,1030,2026-05-15 15:30:36,1.487,1.487,2026-05-15 15:14:42,2026-05-15 15:32:45
18558403,10005665,510360,XSHG,2026-05-15,2.065,1.689,0,0,1030,2026-05-15 15:30:36,1.877,1.877,2026-05-15 15:14:42,2026-05-15 15:32:44
18561239,10001034,510900,XSHG,2026-05-15,1.201,0.983,0,0,1030,2026-05-15 15:30:36,1.092,1.092,2026-05-15 15:14:42,2026-05-15 15:32:45
18558571,10030451,513780,XSHG,2026-05-15,1.651,1.351,0,0,1030,2026-05-15 15:30:36,1.501,1.501,2026-05-15 15:14:44,2026-05-15 15:32:45
18562032,77295,601156,XSHG,2026-05-15,17.55,14.36,0,0,1030,2026-05-15 15:30:36,15.95,15.95,2026-05-15 15:15:40,2026-05-15 15:32:47
18559624,30784,603223,XSHG,2026-05-15,10.01,8.19,0,0,1030,2026-05-15 15:30:36,9.1,9.1,2026-05-15 15:15:40,2026-05-15 15:32:47
18562057,29711,601500,XSHG,2026-05-15,4.99,4.09,0,0,1030,2026-05-15 15:30:36,4.54,4.54,2026-05-15 15:15:41,2026-05-15 15:32:47
